file,duration
0.wav,1.819
1.wav,11.096
10.wav,8.299
100.wav,2.884
1000.wav,2.339
10000.wav,5.857
10001.wav,6.33
10002.wav,10.569
10003.wav,1.888
10004.wav,8.43
10005.wav,7.602
10006.wav,2.309
10007.wav,2.8
10008.wav,16.969
10009.wav,4.155
1001.wav,4.541
10010.wav,1.593
10011.wav,3.462
10012.wav,3.097
10013.wav,2.794
10014.wav,13.052
10015.wav,4.184
10016.wav,1.471
10017.wav,9.89
10018.wav,2.075
10019.wav,4.516
1002.wav,5.481
10020.wav,6.872
10021.wav,8.15
10022.wav,2.766
10023.wav,3.362
10024.wav,2.844
10025.wav,2.783
10026.wav,9.453
10027.wav,2.6
10028.wav,1.791
10029.wav,17.265
1003.wav,8.035
10030.wav,4.327
10031.wav,2.531
10032.wav,5.248
10033.wav,1.706
10034.wav,0.801
10035.wav,10.764
10036.wav,5.838
10037.wav,3.264
10038.wav,3.665
10039.wav,14.722
1004.wav,3.032
10040.wav,2.376
10041.wav,4.365
10042.wav,1.069
10043.wav,3.185
10044.wav,1.657
10045.wav,2.773
10046.wav,1.307
10047.wav,5.914
10048.wav,3.007
10049.wav,2.961
1005.wav,2.401
10050.wav,5.77
10051.wav,1.624
10052.wav,3.945
10053.wav,2.08
10054.wav,2.266
10055.wav,1.904
10056.wav,3.881
10057.wav,1.808
10058.wav,9.712
10059.wav,12.078
1006.wav,4.708
10060.wav,3.246
10061.wav,7.664
10062.wav,2.458
10063.wav,4.675
10064.wav,2.067
10065.wav,2.804
10066.wav,3.35
10067.wav,3.686
10068.wav,1.064
10069.wav,2.905
1007.wav,3.31
10070.wav,3.55
10071.wav,1.532
10072.wav,9.148
10073.wav,3.898
10074.wav,1.52
10075.wav,6.344
10076.wav,1.58
10077.wav,2.045
10078.wav,6.443
10079.wav,9.308
1008.wav,2.097
10080.wav,2.258
10081.wav,3.296
10082.wav,1.046
10083.wav,4.274
10084.wav,1.655
10085.wav,1.582
10086.wav,3.773
10087.wav,2.992
10088.wav,2.815
10089.wav,3.36
1009.wav,3.0
10090.wav,2.646
10091.wav,19.931
