session	train_recordings_dropped	holdout_recordings_kept	train_chunks_dropped
01a2454b-bce1-414c-8eac-8d87c1af8cab	01a2454b-bce1-414c-8eac-8d87c1af8cab_0	01a2454b-bce1-414c-8eac-8d87c1af8cab_1	19
166845d2-8575-4cc7-8e1d-df6b929dc9a2	166845d2-8575-4cc7-8e1d-df6b929dc9a2_0	166845d2-8575-4cc7-8e1d-df6b929dc9a2_1	20
183aae39-22d7-4658-b3ab-cd041912ee75	183aae39-22d7-4658-b3ab-cd041912ee75_0	183aae39-22d7-4658-b3ab-cd041912ee75_1	8
8989ad5e-998d-4d14-b237-069bcd5e94c1	8989ad5e-998d-4d14-b237-069bcd5e94c1_0	8989ad5e-998d-4d14-b237-069bcd5e94c1_1	10
9cec6985-1ab9-49df-9ebe-11eebce1ecc1	9cec6985-1ab9-49df-9ebe-11eebce1ecc1_0	9cec6985-1ab9-49df-9ebe-11eebce1ecc1_1	20
c84b7654-7669-4db1-8906-0539adb71b81	c84b7654-7669-4db1-8906-0539adb71b81_1	c84b7654-7669-4db1-8906-0539adb71b81_0	15
cbb85364-fca9-4771-9b49-f65db601cefa	cbb85364-fca9-4771-9b49-f65db601cefa_0	cbb85364-fca9-4771-9b49-f65db601cefa_1	20
e69114de-c318-473c-8837-8403b14b0de3	e69114de-c318-473c-8837-8403b14b0de3_1	e69114de-c318-473c-8837-8403b14b0de3_0	11
f77ff838-777f-45d1-89c7-5743911410c6	f77ff838-777f-45d1-89c7-5743911410c6_0	f77ff838-777f-45d1-89c7-5743911410c6_1	12
fb3b26fd-bdfd-461f-bf70-3c7c012382b5	fb3b26fd-bdfd-461f-bf70-3c7c012382b5_1	fb3b26fd-bdfd-461f-bf70-3c7c012382b5_0	18
fd09190b-aad0-4d75-a61f-1b73eceb7084	fd09190b-aad0-4d75-a61f-1b73eceb7084_1	fd09190b-aad0-4d75-a61f-1b73eceb7084_0	20
